"","Maliyyə vəziyyəti haqqında hesabat","",""
"","","","min manatla"
"","finSitStatem","Hesabat dövrü","Ötən ilin sonu"
"","","31.03.2021","31.03.2020"
"1","Aktivlər:","5 587 991","4 412 658"
"1,1","Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait","2 006 369","982 937"
"1,2","Ticarət və investisiya qiymətli kağızları","992 437","404 441"
"1,3","Banklar və digər maliyyə institutlarındakı depozitlər","360 867","982 032"
"1,4","Banklar və digər maliyyə institutlarına verilən kreditlər","11 600","8 500"
"1,5","Müştərilərə verilmiş kreditlər","2 213 171","2 042 072"
"1.5.1","a) istehlak kreditləri","1 374 855","1 349 199"
"1.5.2","b) biznes kreditləri","593 704","635 981"
"1.5.3","c) daşınmaz əmlak kreditləri","244 613","56 893"
"1.5.4","d) digər kreditlər","0","0"
"1.5.5","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat)","-289 819","-306 702"
"1.5.6 Müştərilərə verilmiş kreditlər (xalis)","","1 923 352","1 735 370"
"1,6","Əmlak və avadanlıqlar","60 324","55 759"
"1,7","Qeyri-maddi aktivlər","24 127","24 045"
"1,8","Təxirə salınmış vergi aktivləri","4 802","4 202"
"1,9","Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat","6 102","2 209"
"1.10","Digər aktivlər","204 113","213 162"
"2","Öhdəliklər:","4 909 490","3 912 410"
"2,1","Depozitlər","4 065 753","3 308 278"
"2.1.1","a) fiziki şəxslərin depozitləri","1 044 426","979 176"
"2.1.2","b) hüquqi şəxslərin depozitləri","3 021 327","2 329 102"
"2,2","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər","2 160","2 160"
"2,3","Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər","349 355","320 502"
"2,4","Borc qiymətli kağızları","0","0"
"2,5","Cari vergi öhdəlikləri","20 737","25 179"
"2,6","Təxirə salınmış vergi öhdəliyi","0","0"
"2,7","Subordinasiya borc öhdəlikləri","68 000","8 500"
"2,8","Digər öhdəliklər","403 485","247 790"
"3","Kapital:","678 501","500 248"
"3,1","Səhmdar kapitalı","245 850","225 850"
"3,2","Səhmin qiymətinin dəyişməsindən gəlir (zərər)","800","800"
"3,3","Bölüşdürülməmiş mənfəət","397 944","238 215"
"3,40","Ümumi ehtiyatlar:","33 906","35 383"
"3.4.1","a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar","28 574","29 245"
"3.4.2","b) əsas vəsaitlərin qiymətləndirilməsindən adi ehtiyatlar","1 435","2 240"
"3.4.3","c) digər ümumi ehtiyatlar","3 897","3 897"
"4","Cəmi öhdəliklər və kapital","5 587 991","4 412 658"
