,,Cari hesabat dövrü,Əvvəlki hesabat dövrü
,,31/3/2024,31/3/2023
1,Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
1.1,Alınmış faizlər,"138,602","179,539"
1.2,Ödənilmiş faizlər,"-27,487","-25,155"
1.3,Alınmış haqq və kommisiyalar,"80,388","94,641"
1.4,Ödənilmiş haqq və kommisiyalar,"-44,596","-39,529"
1.5,Xarici valyuta əməliyyatlarından xalis gəlir,"6,815","11,623"
1.6,Ödənilmiş ümumi və inzibati xərclər,0,0
1.7,Alınmış digər əməliyyat gəlirləri,0,0
1.8,Ödənilmiş digər əməliyyat xərcləri,"-68,598","-78,347"
1.9,Ümidsiz borclardan daxilolmalar,0,0
1.1,Alınmış digər əməliyyat gəlirləri,"1,723",622
1.11 Ödənilmiş digər əməliyyat xərcləri,,"9,106","1,914"
,Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə,,
2,,,
,pul vəsaitlərinin hərəkəti,,
2.1,Əməliyyat aktivlərindən xalis artım/azalma,"164,682","-82,733"
,Banklara və maliyyə institutlarına verilmiş kreditlərdə  və depozitlərdə xalis artım,,
2.1.1,,"-45,986","13,185"
,(azalma),,
2.1.2 Müştərilərə verilmiş kreditlərdə xalis artım (azalma),,"-37,624","-60,715"
2.1.3 Digər aktivlərdə xalis artım (azalma),,"248,292","-35,203"
2.2,Əməliyyat öhdəliklərindən xalis artım/azalma,"504,811","-250,985"
,Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım,,
2.2.1,,"84,379","1,529"
,(azalma),,
2.2.2 Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma),,0,0
2.2.3 Müştərilərin depozitləri və cari hesablarında xalis artım (azalma),,"475,548","-186,361"
2.2.4 Digər öhdəliklərdəxalis artım (azalma),,"-55,116","-66,153"
3,Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,"765,446","-188,410"
3.1,Ödənilmiş mənfəət vergisi,0,"-53,577"
4,Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri,"765,446","-241,987"
5,İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
5.1,Əmlak və avadanlıqların alınması və avans ödənişləri,"-8,242","-8,023"
5.2,Əmlak və avadanlıqların satılmasından daxilolmalar,0,65
5.3,Qeyri-maddi aktivlərin alınması,"-1,062","-2,158"
5.4,Qeyri-maddi aktivlərin satılmasından daxilolmalar,0,0
5.5,Alınmış dividendlər,0,0
5.6,Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması,"-278,336","414,594"
5.7,Digər,"-20,205",0
6,İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərinin hərəkəti,"-307,845","404,478"
7,Maliyyələşdirmə fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
7.1,Digər borc öhdəliklərinin əldə olunması,0,0
7.2,Digər borc öhdəliklərinin ödənilməsi,0,0
7.3,Subordinasiya borclarının əldə olunması,0,0
7.4,Səhmdar kapitalının buraxılmasından daxilolmalar,0,0
7.5,Ödənilmiş dividentlər,0,"-8,100"
7.6,Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi),0,0
8,Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri,0,"-8,100"
9,Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,189,615","1,559,064"
10,Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma),"288,571","154,984"
11,Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri,-616,593
12,Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,478,186","1,714,048"
