Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),"Vaxtı keçmiş kreditlər 
(min manatla)*","Vaxtı keçmiş 
kreditlərin portfeldə 
payı (faizlə)"
"Cəmi kredit portfeli, o cümlədən","5,211,207.54","97,628",1.87%
1.Sənaye,"402,757","2,068",0.51%
1.1.1 Mədən çıxarma sənayesi,"15,069",22,0.14%
"1.1.2 Emal sənayesi, cəmi","76,972","1,729",2.25%
1.1.3 Elektrik enerjisi və Qazın,"302,958",-,0.00%
1.1.4 Sənayenin digər sahələri,"7,758",317,4.08%
2. Kənd təsərrüfatı,"90,890","3,034",3.34%
3. Tikinti sahəsi,"90,123","3,384",3.75%
"4. Nəqliyyat, cəmi","33,617",635,1.89%
5. İnformasiya və Rabitə,"61,517",-,0.00%
"6. Ticarət müəssisələrinə kredit, cəmi","486,925","14,043",2.88%
7. Digər qeyri-istehsal və xidmət sahələri,"500,499","4,317",0.86%
8.  Mərkəzi idarəetmə orqanları və,-,-,0.00%
9. İctimai Təşkilatlara,129,-,0.00%
"10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki 
şəxslərə kreditlər, cəmi","3,544,750","70,147",1.98%
a) Yaşayış sahəsinin,"605,309","3,594",0.59%
"a1) o cümlədən, 
daşınmaz əmlakla","605,309","3,594",0.59%
b) Yaşayış sahəsinin tikintisi,-,-,0.00%
"b1) o cümlədən, 
daşınmaz əmlakla",-,-,0.00%
c) Avtomobil alınmasına,-,-,0.00%
d) Məişət avadanlıqlarının,-,-,0.00%
e) Kredit kartları,"716,463","14,640",2.04%
f) Digər,"2,222,977","51,913",2.34%
11. Digər Kreditlər,-,-,0.00%
