,Balansdankənar öhdəliklərin ayrı ayrı növləri barədə,
,,(min manatla)
ÖHDƏLİKLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
"1. Kredit alətləri, cəmi","2,802,399","113,317"
a) Kredit öhdəlikləri,-,-
b) İstifadə olunmamış kredit xətləri,"2,802,376","113,317"
"c) Qiymətli kağızlar və xarici valyuta istisna olmaqla, aktivlərin alınması üzrə öhdəliklər",-,-
d) Digər öhdəliklər,24,-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi","1,337,892","192,834"
a) Qarantiyalar,"1,337,892","192,834"
b) Bu qəbildən olan digər öhdəliklər,-,-
"3. Akkreditivlər, cəmi","15,045","15,045"
"a) ""Standby"" akkreditivlər",-,-
b) Sənədli akkreditivlər,"15,045","15,045"
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi",-,-
a) Spot müqavilələri əsasında,-,-
a1) alqı,,
a2) satqı,,
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,"17,000","17,000"
a) Forvard və fyuçers müqavilələri əsasında,-,-
a1) alqı,,
a2) satqı,,
b) Svop müqavilələri əsasında,"17,000","17,000"
b1) alqı,,
b2) satqı,"17,000","17,000"
c) Opsion müqavilələri əsasında,-,-
c1) alqı,,
c2) satqı,,
d) Digər törəmə maliyyə alətləri əsasında,-,-
d1) alqı,,
d2) satqı,,
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,-,-
a) alqı,,
b) satqı,,
7. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə təəhhüdlər,-,-
a) alqı,,
b) satqı,,
8. Digər balansdankənar öhdəliklər,,
,,(min manatla)
MADDƏLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
1. Alınmış qarantiyalar və bu qəbildən olan maddələr,-,-
a) Qarantiyalar,,
b) Bu qəbildən olan digər maddələr,,
2. İxrac akkreditivləri,,
3. Silinmiş aktivlər,"176,000","15,174"
a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği,"130,527","7,086"
b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları,"33,478","8,087"
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği,"11,995",1
d) Balansdan silinmiş digər ümidsiz aktivlərin faiz borcları,-,-
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,-,-
5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır),-,-
