Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,5672597.59
1.1,0-3 ay,1078471.62
1.2,3-6 ay,692448.6000000001
1.3,6-12 ay,1074882.0
1.4,12-24 ay,1728734.0599999996
1.5,24-36 ay,702363.31
1.6,36 aydan yuxarı,395698.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,3652940.0168799995
2.1,0-3 ay,1663248.4868799997
2.2,3-6 ay,338928.17999999976
2.3,6-12 ay,880002.0
2.4,12-24 ay,240200.5
2.5,24-36 ay,143968.8499999999
2.6,36 aydan yuxarı,386592.0
3.0,“Qəp”,2019656.5731200005
3.1,0-3 ay,-584776.8668799996
3.2,3-6 ay,353520.42000000033
3.3,6-12 ay,194879.0
3.4,12-24 ay,1488533.5599999996
3.5,24-36 ay,558394.4600000002
3.6,36 aydan yuxarı,9106.0
